Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadResult,4,0,1,1,22,1,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompleteMultipartUploadResult.java,24
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResult,2,0,1,1,16,1,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopyObjectResult.java,24
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResult,2,0,2,2,14,2,0,0,0.0,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopyPartResult.java,26
S3Mock,com.adobe.testing.s3mock.dto,CopySource,3,1,5,3,40,7,0,0,0.0,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopySource.java,23
S3Mock,com.adobe.testing.s3mock.dto,DefaultRetention,3,0,10,10,46,12,0,0,0.2,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\DefaultRetention.java,23
S3Mock,com.adobe.testing.s3mock.dto,Delete,2,0,4,4,19,4,0,0,0.5,4,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Delete.java,24
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,2,0,5,5,25,5,0,1,0.6,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\DeletedS3Object.java,22
S3Mock,com.adobe.testing.s3mock.dto,DeleteResult,2,0,4,4,19,4,0,0,0.5,4,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\DeleteResult.java,25
S3Mock,com.adobe.testing.s3mock.dto,Error,4,0,9,9,39,9,0,0,0.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Error.java,21
S3Mock,com.adobe.testing.s3mock.dto,ErrorResponse,4,0,4,4,21,4,0,0,1.0,4,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ErrorResponse.java,22
S3Mock,com.adobe.testing.s3mock.dto,Grant,3,0,10,9,46,12,0,0,0.3,2,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Grant.java,27
S3Mock,com.adobe.testing.s3mock.dto,Grant.Permission,1,0,0,0,8,0,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Grant.java,82
S3Mock,com.adobe.testing.s3mock.dto,Grantee,2,0,9,9,66,12,3,1,0.3333333333333333,5,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Grantee.java,27
S3Mock,com.adobe.testing.s3mock.dto,Grantee.CanonicalUser,0,0,0,0,7,0,0,2,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Grantee.java,90
S3Mock,com.adobe.testing.s3mock.dto,Grantee.Group,0,0,0,0,7,0,0,2,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Grantee.java,100
S3Mock,com.adobe.testing.s3mock.dto,Grantee.AmazonCustomerByEmail,0,0,0,0,7,0,0,2,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Grantee.java,110
S3Mock,com.adobe.testing.s3mock.dto,InitiateMultipartUploadResult,3,0,1,1,13,1,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\InitiateMultipartUploadResult.java,22
S3Mock,com.adobe.testing.s3mock.dto,InstantDeserializer,0,0,1,1,6,1,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\InstantDeserializer.java,26
S3Mock,com.adobe.testing.s3mock.dto,InstantSerializer,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\InstantSerializer.java,26
S3Mock,com.adobe.testing.s3mock.dto,LegalHold,2,0,6,5,28,6,0,0,0.5,6,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\LegalHold.java,24
S3Mock,com.adobe.testing.s3mock.dto,LegalHold.Status,1,0,0,0,11,0,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\LegalHold.java,50
S3Mock,com.adobe.testing.s3mock.dto,LifecycleExpiration,3,0,10,10,46,12,0,0,0.2,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\LifecycleExpiration.java,27
S3Mock,com.adobe.testing.s3mock.dto,LifecycleRule,9,0,22,21,97,24,0,0,0.13636363636363635,3,4,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\LifecycleRule.java,28
S3Mock,com.adobe.testing.s3mock.dto,LifecycleRule.Status,1,0,0,0,11,0,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\LifecycleRule.java,166
S3Mock,com.adobe.testing.s3mock.dto,LifecycleRuleAndOperator,4,0,12,12,54,14,1,0,0.16666666666666666,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\LifecycleRuleAndOperator.java,26
