Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.dto,Grantee.AmazonCustomerByEmail,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.dto,Grantee.AmazonCustomerByEmail,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,InstantDeserializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,InstantSerializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,LegalHold.Status,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,LifecycleRule,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
S3Mock,com.adobe.testing.s3mock.dto,LifecycleRule.Status,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,NoncurrentVersionTransition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,Owner,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_OWNER; id; displayName
S3Mock,com.adobe.testing.s3mock.dto,Part,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompletedPart
S3Mock,com.adobe.testing.s3mock.dto,Prefix,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,RegionSerializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,DtoTestUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.service,BucketService,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
S3Mock,com.adobe.testing.s3mock.service,ServiceConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceTestBase
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest.Param,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: prefix; delimiter; expectedPrefixes; expectedKeys
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest.Param,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.store,S3ObjectMetadata,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
S3Mock,com.adobe.testing.s3mock.store,StoreConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.store,BucketStoreTest,Feature Envy,The tool detected a instance of this smell because testDoesBucketExist_ok is more interested in members of the type: BucketStore
S3Mock,com.adobe.testing.s3mock.store,BucketStoreTest,Feature Envy,The tool detected a instance of this smell because testCreateAndListBucketsWithUmlauts is more interested in members of the type: BucketStore
S3Mock,com.adobe.testing.s3mock.store,BucketStoreTest,Feature Envy,The tool detected a instance of this smell because testCreateAndGetBucket is more interested in members of the type: BucketStore
S3Mock,com.adobe.testing.s3mock.store,BucketStoreTest,Feature Envy,The tool detected a instance of this smell because testCreateAndGetBucketWithObjectLock is more interested in members of the type: BucketStore
S3Mock,com.adobe.testing.s3mock.store,BucketStoreTest,Feature Envy,The tool detected a instance of this smell because testStoreAndGetBucketLifecycleConfiguration is more interested in members of the type: BucketStore
S3Mock,com.adobe.testing.s3mock.store,BucketStoreTest,Feature Envy,The tool detected a instance of this smell because testCreateAndDeleteBucket is more interested in members of the type: BucketStore
S3Mock,com.adobe.testing.s3mock.store,BucketStoreTest,Feature Envy,The tool detected a instance of this smell because cleanupStores is more interested in members of the type: BucketStore
S3Mock,com.adobe.testing.s3mock.store,KmsKeyStoreTest,Feature Envy,The tool detected a instance of this smell because testValidateKeyRef is more interested in members of the type: KmsKeyStore
S3Mock,com.adobe.testing.s3mock.store,ObjectStoreTest,Feature Envy,The tool detected a instance of this smell because testStoreAndGetTagsOnExistingObject is more interested in members of the type: ObjectStore
S3Mock,com.adobe.testing.s3mock.store,ObjectStoreTest,Feature Envy,The tool detected a instance of this smell because testStoreAndGetRetentionOnExistingObject is more interested in members of the type: ObjectStore
S3Mock,com.adobe.testing.s3mock.store,ObjectStoreTest,Feature Envy,The tool detected a instance of this smell because testStoreAndGetLegalHoldOnExistingObject is more interested in members of the type: ObjectStore
S3Mock,com.adobe.testing.s3mock.store,ObjectStoreTest,Feature Envy,The tool detected a instance of this smell because testStoreAndDeleteObject is more interested in members of the type: ObjectStore
S3Mock,com.adobe.testing.s3mock.store,ObjectStoreTest,Feature Envy,The tool detected a instance of this smell because testStoreAndRetrieveAcl is more interested in members of the type: ObjectStore
S3Mock,com.adobe.testing.s3mock.store,StoresWithExistingFileRootTest.TestConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.store,StoresWithExistingFileRootTest.TestConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsChunkedDecodingInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NOT; X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID; X_AMZ_SERVER_SIDE_ENCRYPTION; NOT_X_AMZ_SERVER_SIDE_ENCRYPTION; RANGE; X_AMZ_COPY_SOURCE; NOT_X_AMZ_COPY_SOURCE; X_AMZ_COPY_SOURCE_RANGE; NOT_X_AMZ_COPY_SOURCE_RANGE; X_AMZ_COPY_SOURCE_IF_MATCH; X_AMZ_COPY_SOURCE_IF_NONE_MATCH; X_AMZ_COPY_SOURCE_IF_UNMODIFIED_SINCE; X_AMZ_COPY_SOURCE_IF_MODIFIED_SINCE; X_AMZ_METADATA_DIRECTIVE; X_AMZ_CONTENT_SHA256; X_AMZ_TAGGING; CONTENT_MD5; X_AMZ_DELETE_MARKER; X_AMZ_BUCKET_OBJECT_LOCK_ENABLED; METADATA_DIRECTIVE_COPY; METADATA_DIRECTIVE_REPLACE
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders.MetadataDirective,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders.MetadataDirective,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: METADATA_DIRECTIVE_COPY; METADATA_DIRECTIVE_REPLACE
S3Mock,com.adobe.testing.s3mock.util,AwsHttpParameters,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpParameters,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NOT; ACL; NOT_ACL; CONTINUATION_TOKEN; DELETE; ENCODING_TYPE; LIST_TYPE_V2; NOT_LIST_TYPE; MAX_KEYS; PART_NUMBER; START_AFTER; TAGGING; NOT_TAGGING; UPLOADS; NOT_UPLOADS; UPLOAD_ID; NOT_UPLOAD_ID; LEGAL_HOLD; NOT_LEGAL_HOLD; OBJECT_LOCK; NOT_OBJECT_LOCK; RETENTION; NOT_RETENTION; LIFECYCLE; NOT_LIFECYCLE; LOCATION; NOT_LOCATION
S3Mock,com.adobe.testing.s3mock.util,EtagUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,HeaderUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: arguments
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarterTest.S3MockStarterTestImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarterTest.S3MockStarterTestImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRuleTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: S3_MOCK_RULE; BUCKET_NAME; UPLOAD_FILE_NAME; s3Client
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,CustomCertificateTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEYSTORE_FILE_NAME; KEYSTORE_PASSWORD; KEY_ALIAS; s3mock
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,S3MockExtensionDeclarativeTest.NestedTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,S3MockExtensionDeclarativeTest.NestedTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit5.sdk2,S3MockExtensionDeclarativeTest.NestedTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5.sdk2,S3MockExtensionDeclarativeTest.NestedTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMAGE_NAME; S3MOCK_DEFAULT_HTTP_PORT; S3MOCK_DEFAULT_HTTPS_PORT; DEFAULT_IMAGE_NAME
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerJupiterTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerManualTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerRestartOnRootfolderTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testng,S3MockListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
