Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders.MetadataDirective,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: METADATA_DIRECTIVE_COPY; METADATA_DIRECTIVE_REPLACE
S3Mock,com.adobe.testing.s3mock.util,AwsHttpParameters,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.util,AwsHttpParameters,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NOT; CONTINUATION_TOKEN; DELETE; ENCODING_TYPE; LIST_TYPE_V2; MAX_KEYS; PART_NUMBER; START_AFTER; TAGGING; UPLOADS; UPLOAD_ID; NOT_UPLOAD_ID
S3Mock,com.adobe.testing.s3mock.util,MetadataUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: arguments
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarterTest.S3MockStarterTestImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarterTest.S3MockStarterTestImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRuleTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: S3_MOCK_RULE; BUCKET_NAME; UPLOAD_FILE_NAME; s3Client
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,CustomCertificateTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEYSTORE_FILE_NAME; KEYSTORE_PASSWORD; KEY_ALIAS; s3mock
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,S3MockExtensionDeclarativeTest.NestedTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,S3MockExtensionDeclarativeTest.NestedTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.junit5.sdk2,S3MockExtensionDeclarativeTest.NestedTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.junit5.sdk2,S3MockExtensionDeclarativeTest.NestedTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMAGE_NAME; S3MOCK_DEFAULT_HTTP_PORT; S3MOCK_DEFAULT_HTTPS_PORT; DEFAULT_IMAGE_NAME
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerJupiterTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainerManualTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.testng,S3MockListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
