Project Name,Package Name,Architecture Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BucketController; S3MockConfiguration; S3MockProperties; TaggingHeaderConverter; TaggingHeaderConverterTest; FaviconController; MultipartController; ObjectController; S3MockApplication]; [KmsValidationFilter]; [S3Exception; BucketControllerTest; MultipartControllerTest]; [S3MockConfiguration.S3MockExceptionHandler]; [S3MockConfiguration.IllegalStateExceptionHandler]; [ContextPathObjectStoreControllerTest]; [FaviconControllerTest]; [ObjectControllerTest]. LCC (Lack of Component Cohesion) = 0.44
S3Mock,com.adobe.testing.s3mock.dto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 49
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.dto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Bucket; ListAllMyBucketsResultTest; Buckets; ListAllMyBucketsResult; Owner; S3Object; StorageClass; ListBucketResultTest; ListBucketResultV2Test; ListBucketResult; ListBucketResultV2; ListPartsResult; MultipartUpload]; [CompletedPart; CompleteMultipartUpload; Part; CompleteMultipartUploadTest; ListPartsResultTest]; [CompleteMultipartUploadResult; CompleteMultipartUploadResultTest]; [CopyObjectResult; CopyObjectResultTest]; [CopyPartResult; CopyPartResultTest]; [CopySource; CopySourceTest]; [Delete; DeleteTest; DeletedS3Object; DeleteResult; S3ObjectIdentifier; DeleteResultTest]; [Error]; [ErrorResponse; ErrorResponseTest]; [EtagDeserializer]; [EtagSerializer; EtagSerializerTest]; [InitiateMultipartUploadResult; InitiateMultipartUploadResultTest]; [ListMultipartUploadsResult; ListMultipartUploadsResultTest]; [ObjectKey]; [Prefix]; [Range]; [Tag; TaggingTest; Tagging]; [DtoTestUtil]. LCC (Lack of Component Cohesion) = 0.37
S3Mock,com.adobe.testing.s3mock.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BucketService; ServiceConfiguration; BucketServiceTest; MultipartService; ObjectService]; [BucketServiceTest.Param]. LCC (Lack of Component Cohesion) = 0.33
S3Mock,com.adobe.testing.s3mock.store,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AwsChunkedDecodingInputStream]; [AwsHttpHeaders]; [AwsHttpHeaders.MetadataDirective]; [AwsHttpParameters]; [DigestUtil; DigestUtilTest]; [HeaderUtil]; [StringEncoding]; [RangeTest]; [StringEncodingTest]. LCC (Lack of Component Cohesion) = 0.9
