Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testHeadBucket_Ok,4,1,0,115,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testHeadBucket_NotFound,4,1,0,126,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testCreateBucket_Ok,3,1,0,138,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testCreateBucket_InternalServerError,4,1,0,147,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testDeleteBucket_NoContent,6,1,0,159,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testDeleteBucket_NotFound,5,1,0,172,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testDeleteBucket_Conflict,7,1,0,187,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testDeleteBucket_InternalServerError,5,1,0,205,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_BadRequest,11,1,0,220,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_BadRequest,11,1,0,248,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_InternalServerError,5,1,0,278,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_InternalServerError,5,1,0,291,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV1_Ok,8,1,0,305,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,testListObjectsV2_Ok,8,1,0,326,1,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,bucketContents,3,1,1,349,0,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,givenBucket,3,1,0,353,0,,
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,from,6,1,1,357,0,,
S3Mock,com.adobe.testing.s3mock,ContextPathObjectStoreControllerTest,testListBuckets_Ok,8,1,0,68,1,,
S3Mock,com.adobe.testing.s3mock,FaviconControllerTest,testFavicon,4,1,0,48,1,,
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadTooSmall,15,2,0,76,1,,
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,15,2,0,104,1,,
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_partNotFound,14,2,0,133,1,,
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,15,2,0,161,1,,
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,createPart,8,1,2,191,0,,
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,givenBucket,4,1,0,200,0,,
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,from,6,1,1,205,0,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testPutObject_Ok,8,1,0,77,1,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testPutObject_md5_Ok,9,1,0,99,1,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testPutObject_md5_BadRequest,8,1,0,123,1,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testGetObject_Encrypted_Ok,9,1,0,143,1,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testHeadObject_Encrypted_Ok,9,1,0,162,1,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,testHeadObject_NotFound,5,1,0,181,1,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,givenBucket,4,1,0,192,0,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,s3ObjectMetadata,8,1,2,197,0,,
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,s3ObjectEncrypted,10,1,3,206,0,,
S3Mock,com.adobe.testing.s3mock,TaggingHeaderConverterTest,testSingleTagConversion,8,1,0,27,1,,
S3Mock,com.adobe.testing.s3mock,TaggingHeaderConverterTest,testMultipleTagConversion,10,1,0,37,1,,
S3Mock,com.adobe.testing.s3mock.dto,Bucket,Bucket,5,1,3,40,0,,
S3Mock,com.adobe.testing.s3mock.dto,Bucket,from,6,2,1,53,0,,
S3Mock,com.adobe.testing.s3mock.dto,Bucket,getCreationDate,3,1,0,62,0,,
S3Mock,com.adobe.testing.s3mock.dto,Bucket,setCreationDate,3,1,1,66,0,,
S3Mock,com.adobe.testing.s3mock.dto,Bucket,getName,3,1,0,70,0,,
S3Mock,com.adobe.testing.s3mock.dto,Bucket,setName,3,1,1,74,0,,
S3Mock,com.adobe.testing.s3mock.dto,Bucket,getPath,3,1,0,78,0,,
S3Mock,com.adobe.testing.s3mock.dto,Bucket,setPath,3,1,1,82,0,,
S3Mock,com.adobe.testing.s3mock.dto,Buckets,getBuckets,3,1,0,35,0,,
S3Mock,com.adobe.testing.s3mock.dto,Buckets,setBuckets,3,1,1,39,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompletedPart,getPartNumber,3,1,0,38,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompletedPart,setPartNumber,3,1,1,42,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompletedPart,getETag,3,1,0,46,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompletedPart,setETag,3,1,1,50,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUpload,setPart,3,1,1,36,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUpload,setParts,3,1,1,40,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUpload,getParts,3,1,0,44,0,,
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadResult,CompleteMultipartUploadResult,6,1,4,43,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResult,CopyObjectResult,4,1,2,36,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResult,getLastModified,3,1,0,47,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResult,setLastModified,3,1,1,51,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResult,getEtag,3,1,0,55,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResult,setEtag,3,1,1,59,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResult,CopyPartResult,4,1,2,39,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResult,from,3,1,2,44,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResult,getLastModified,3,1,0,48,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResult,getEtag,3,1,0,52,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopySource,CopySource,6,1,1,32,0,com.adobe.testing.s3mock.dto.CopySource,com.adobe.testing.s3mock.dto.CopySource
S3Mock,com.adobe.testing.s3mock.dto,CopySource,getBucket,3,1,0,52,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopySource,getKey,3,1,0,56,0,,
S3Mock,com.adobe.testing.s3mock.dto,CopySource,extractBucketAndKeyArray,8,2,1,60,0,com.adobe.testing.s3mock.dto.CopySource,com.adobe.testing.s3mock.dto.CopySource
S3Mock,com.adobe.testing.s3mock.dto,CopySource,normalizeCopySource,6,2,1,72,0,,
S3Mock,com.adobe.testing.s3mock.dto,Delete,getObjectsToDelete,3,1,0,38,0,,
S3Mock,com.adobe.testing.s3mock.dto,Delete,setObjectsToDelete,3,1,1,42,0,,
S3Mock,com.adobe.testing.s3mock.dto,Delete,isQuiet,3,1,0,46,0,,
S3Mock,com.adobe.testing.s3mock.dto,Delete,setQuiet,3,1,1,50,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,getDeleteMarker,3,1,0,34,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,setDeleteMarker,3,1,1,38,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,getDeleteMarkerVersionId,3,1,0,42,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,setDeleteMarkerVersionId,3,1,1,46,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,from,6,1,1,50,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeleteResult,getDeletedObjects,3,1,0,40,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeleteResult,addDeletedObject,3,1,1,44,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeleteResult,getErrors,3,1,0,48,0,,
S3Mock,com.adobe.testing.s3mock.dto,DeleteResult,addError,3,1,1,52,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,Error,6,1,4,38,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,getVersionId,3,1,0,45,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,setVersionId,3,1,1,49,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,getMessage,3,1,0,53,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,setMessage,3,1,1,57,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,getKey,3,1,0,61,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,setKey,3,1,1,65,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,getCode,3,1,0,69,0,,
S3Mock,com.adobe.testing.s3mock.dto,Error,setCode,3,1,1,73,0,,
S3Mock,com.adobe.testing.s3mock.dto,ErrorResponse,setCode,3,1,1,41,0,,
S3Mock,com.adobe.testing.s3mock.dto,ErrorResponse,setMessage,3,1,1,45,0,,
S3Mock,com.adobe.testing.s3mock.dto,ErrorResponse,setResource,3,1,1,49,0,,
S3Mock,com.adobe.testing.s3mock.dto,ErrorResponse,setRequestId,3,1,1,53,0,,
S3Mock,com.adobe.testing.s3mock.dto,EtagDeserializer,deserialize,8,2,2,36,0,,
S3Mock,com.adobe.testing.s3mock.dto,EtagSerializer,serialize,7,2,3,34,0,,
S3Mock,com.adobe.testing.s3mock.dto,InitiateMultipartUploadResult,InitiateMultipartUploadResult,5,1,3,38,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResult,ListAllMyBucketsResult,5,1,2,36,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResult,getBuckets,3,1,0,42,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResult,getOwner,3,1,0,46,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResult,setBuckets,3,1,1,50,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResult,setOwner,3,1,1,54,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResult,ListBucketResult,12,1,9,66,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2,ListBucketResultV2,14,1,11,72,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResult,ListMultipartUploadsResult,13,1,11,57,0,,
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResult,ListPartsResult,6,1,4,56,0,,
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,MultipartUpload,7,1,5,43,0,,
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,getKey,3,1,0,52,0,,
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,getUploadId,3,1,0,56,0,,
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,getOwner,3,1,0,60,0,,
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,getInitiator,3,1,0,64,0,,
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,getStorageClass,3,1,0,68,0,,
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,getInitiated,3,1,0,72,0,,
S3Mock,com.adobe.testing.s3mock.dto,ObjectKey,ObjectKey,9,2,1,35,0,,
S3Mock,com.adobe.testing.s3mock.dto,ObjectKey,getKey,3,1,0,44,0,,
S3Mock,com.adobe.testing.s3mock.dto,Owner,Owner,2,1,0,38,0,,
S3Mock,com.adobe.testing.s3mock.dto,Owner,Owner,4,1,2,42,0,,
S3Mock,com.adobe.testing.s3mock.dto,Owner,getDisplayName,3,1,0,47,0,,
S3Mock,com.adobe.testing.s3mock.dto,Owner,getId,3,1,0,51,0,,
S3Mock,com.adobe.testing.s3mock.dto,Owner,setDisplayName,3,1,1,55,0,,
S3Mock,com.adobe.testing.s3mock.dto,Owner,setId,3,1,1,59,0,,
S3Mock,com.adobe.testing.s3mock.dto,Part,getLastModified,3,1,0,37,0,,
S3Mock,com.adobe.testing.s3mock.dto,Part,setLastModified,3,1,1,41,0,,
S3Mock,com.adobe.testing.s3mock.dto,Part,getSize,3,1,0,45,0,,
S3Mock,com.adobe.testing.s3mock.dto,Part,setSize,3,1,1,49,0,,
S3Mock,com.adobe.testing.s3mock.dto,Part,equals,10,3,1,53,0,,
S3Mock,com.adobe.testing.s3mock.dto,Part,hashCode,3,1,0,67,0,,
S3Mock,com.adobe.testing.s3mock.dto,Prefix,Prefix,3,1,1,25,0,,
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,25,5,1,39,0,com.adobe.testing.s3mock.dto.Range,com.adobe.testing.s3mock.dto.Range
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,4,1,2,78,0,,
S3Mock,com.adobe.testing.s3mock.dto,Range,getStart,3,1,0,89,0,,
S3Mock,com.adobe.testing.s3mock.dto,Range,getEnd,3,1,0,93,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,S3Object,2,1,0,48,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,S3Object,8,1,6,52,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,from,3,1,1,66,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,getKey,3,1,0,72,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,setKey,3,1,1,76,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,getLastModified,3,1,0,80,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,getEtag,3,1,0,84,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,getSize,3,1,0,88,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,getStorageClass,3,1,0,92,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3Object,getOwner,3,1,0,96,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3ObjectIdentifier,getKey,3,1,0,33,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3ObjectIdentifier,setKey,3,1,1,37,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3ObjectIdentifier,getVersionId,3,1,0,41,0,,
S3Mock,com.adobe.testing.s3mock.dto,S3ObjectIdentifier,setVersionId,3,1,1,45,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tag,Tag,2,1,0,32,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tag,Tag,5,1,1,36,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tag,Tag,4,1,2,45,0,,
S3Mock,com.adobe.testing.s3mock.dto,Tag,getKey,3,1,0,51,0,,
