Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,listObjectsFromNonExistingBucket,3,1,0,227,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,uploadParallelToNonExistingBucket,10,1,0,237,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,multipartUploadsToNonExistingBucket,3,1,0,257,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,listMultipartUploadsFromNonExistingBucket,5,1,0,268,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,abortMultipartUploadInNonExistingBucket,7,1,0,283,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,uploadMultipartWithInvalidPartNumber,9,1,0,303,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,completeMultipartUploadWithNonExistingPartNumber,11,1,0,329,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,rangeDownloadsFromNonExistingBucket,9,1,0,362,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,rangeDownloadsFromNonExistingObject,9,1,0,387,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,multipartCopyToNonExistingBucket,14,1,0,412,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,multipartCopyNonExistingObject,15,1,0,444,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesV2IT,getNonExistingObject,5,1,0,30,1,,
S3Mock,com.adobe.testing.s3mock.its,EtagInputStream,EtagInputStream,4,1,2,40,0,,
S3Mock,com.adobe.testing.s3mock.its,EtagInputStream,getEtag,10,3,0,51,0,,
S3Mock,com.adobe.testing.s3mock.its,EtagInputStream,read,15,3,3,67,0,,
S3Mock,com.adobe.testing.s3mock.its,EtagInputStream,close,4,1,0,85,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,param,3,1,3,100,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,data,3,1,0,104,0,com.adobe.testing.s3mock.its.ListObjectIT,com.adobe.testing.s3mock.its.ListObjectIT
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,initializeTestBucket,7,2,0,132,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,listV1,13,2,1,150,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,listV2,8,1,1,186,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,prepareS3Client,6,1,0,30,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsLimitedAmountOfObjectsBasedOnMaxKeys,6,1,0,39,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsAllObjectsIfMaxKeysIsDefault,6,1,0,49,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsAllObjectsIfMaxKeysEqualToAmountOfObjects,6,1,0,58,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsAllObjectsIfMaxKeysMoreThanAmountOfObjects,6,1,0,68,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsEmptyListIfMaxKeysIsZero,6,1,0,78,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1MaxKeysIT,returnsAllObjectsIfMaxKeysIsNegative,6,1,0,88,1,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1PaginationIT,prepareS3Client,6,1,0,30,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectV1PaginationIT,shouldTruncateAndReturnNextMarker,12,1,0,39,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldPassUserMetadataWithMultipartUploads,13,1,0,62,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldInitiateMultipartAndRetrieveParts,18,1,0,104,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldListMultipartUploads,13,1,0,145,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldListMultipartUploadsWithPrefix,10,1,0,169,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldAbortMultipartUpload,9,1,0,190,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldAdherePartsInCompleteMultipartUploadRequest,22,1,0,214,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,shouldCopyObjectPart,25,1,0,288,1,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,getUploadPartRequest,3,1,2,332,0,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,createRandomBytes,6,1,0,339,0,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,readStreamIntoByteArray,12,2,1,346,0,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,concatByteArrays,6,1,2,361,0,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,setupHttpClient,3,1,0,64,0,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,shutdownHttpClient,3,1,0,69,0,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,putObjectReturns200,7,1,0,74,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,putObjectEncryptedWithAbsentKeyRef,8,1,0,85,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,listWithPrefixAndMissingSlash,7,1,0,97,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,getObjectUsesApplicationXmlContentType,5,1,0,110,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,listBucketsUsesApplicationXmlContentType,5,1,0,118,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,batchDeleteUsesApplicationXmlContentType,6,1,0,126,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,completeMultipartUsesApplicationXmlContentType,10,1,0,139,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,putObjectWithSpecialCharactersInTheName,9,1,0,173,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,deleteNonExistingObjectReturns204,6,1,0,193,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,batchDeleteObjects,7,1,0,204,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,headObjectWithUnknownContentType,12,1,0,219,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,assertApplicationXmlContentType,4,1,1,240,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,prepareS3Client,4,1,0,84,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,defaultTestAmazonS3ClientBuilder,3,1,0,94,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getServiceEndpoint,3,1,0,103,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,createS3ClientV2,3,1,0,107,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,cleanupFilestore,9,3,0,118,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getHost,3,1,0,136,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getPort,3,1,0,140,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getHttpPort,3,1,0,144,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,ignoringInvalidSslCertificates,4,1,1,148,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,createBlindlyTrustingSslContext,27,1,0,159,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getAcceptedIssuers,3,1,0,164,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkClientTrusted,2,1,2,169,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkClientTrusted,2,1,3,174,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkClientTrusted,2,1,3,180,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkServerTrusted,2,1,3,186,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkServerTrusted,2,1,3,192,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkServerTrusted,2,1,2,198,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,createDefaultTransferManager,3,1,0,212,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,createTransferManager,12,1,4,216,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,newThread,5,1,1,223,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,randomInputStream,5,1,1,242,0,,
S3Mock,com.adobe.testing.s3mock.domain,Bucket,Bucket,5,1,3,37,0,,
S3Mock,com.adobe.testing.s3mock.domain,Bucket,getCreationDate,3,1,0,50,0,,
S3Mock,com.adobe.testing.s3mock.domain,Bucket,setCreationDate,3,1,1,54,0,,
S3Mock,com.adobe.testing.s3mock.domain,Bucket,getName,3,1,0,58,0,,
S3Mock,com.adobe.testing.s3mock.domain,Bucket,setName,3,1,1,62,0,,
S3Mock,com.adobe.testing.s3mock.domain,Bucket,getPath,3,1,0,66,0,,
S3Mock,com.adobe.testing.s3mock.domain,Bucket,setPath,3,1,1,70,0,,
